"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR25799","1. Seizure","Kenya","2019-10-15 00:00:00","1 ivory bangle (60g) seized at Jomo Kenyatta Airport, Kenya - 1 Chinese national arrested","https://www.standardmedia.co.ke/article/2001345662/chinese-arrested-with-ivory-bangle-at-jkia","Media","","","Air","On Person","Other","Concealed in a cigarette packet.","Routine Inspection","Confiscation & arrest","","","","","","","",""
"MOR25971","1. Seizure","Kenya","2019-10-23 00:00:00","1 ivory bangle (100g) seized at Jomo Kenyatta International Airport, Kenya - 1 Zambian female arrested","https://nairobinews.nation.co.ke/editors-picks/zambian-woman-arrested-at-jkia-with-ivory-bangle","Media","","","Air","On Person","","The seized ivory was modified and worn as a jewellery (wrist bangle).","Routine Inspection","Charged - No further details","1","","","","","","",""
"MOR26099","1. Seizure","Kenya","2016-04-04 00:00:00","1046g of ivory and 500g of pangolin scales seized at Jomo Kenyatta International Airport - 2 suspects arrested","http://www.the-star.co.ke/news/2016/04/05/two-chinese-arrested-at-jkia-for-trafficking-illegal-wildlife-trophies_c1325931","Media","","Environmental Investigation Agency (EIA)","Air","","","","Dogs","Confiscation & arrest","","","","","","","",""
"MOR26100","1. Seizure","Kenya","2016-04-11 00:00:00","Worked ivory seized at Jomo Kenyatta International Airport - 1 Chinese national arrested","https://www.the-star.co.ke/news/2016-04-12-chinese-national-arrested-with-sh60000-ivory-at-jkia/","Media","","","Air","","","Method of concealment not specified but possibly in personal luggage","","Charged - No further details","1","","","","","","",""
"MOR26770","1. Seizure","Kenya","2018-11-13 00:00:00","21 elephant tusks seized in Rumuruti, three suspects arrested","http://www.xinhuanet.com/english/2018-11/13/c_137603613.htm","Media","","","","","","","Operation","Confiscation & arrest","","","","","","","",""
"MOR27668","1. Seizure","Kenya","2018-07-12 00:00:00","4 ivory pieces seized at residence in Muthaiga North Estate, Nairobi - known drug dealer arrested","https://nairobiwire.com/2020/02/drugs-and-wildlife-trafficking-couple-to-lose-sh1-billion-worth-of-property-and-cash.html","Media","https://www.kahawatungu.com/police-seize-drugs-elephant-tusks-muthaiga/","","","In Premises (either domestic or business)","","","Investigation","Conviction","2","","","1000000000","KES Kenyan Shilling","9769860","",""
"MOR27738","2. Poaching / Illegal Harvesting","Kenya","2020-03-10 00:00:00","2 white Giraffe's found dead in Ishaqbini Hirola Community Conservancy, Garissa County","https://www.nationalgeographic.com/animals/2020/03/rare-white-giraffes-poached/","NGO","https://www.bbc.com/news/world-africa-51816083
https://twitter.com/kwskenya/status/1237412505875603456","","","","","","Routine Inspection","Investigation ongoing","","","","","","","",""
"MOR28120","1. Seizure","Kenya","2019-08-18 00:00:00","1 ivory bangle (0.025 kg) seized at Jomo Kenyatta International Airport - 1 Spanish national arrested","https://www.channelnewsasia.com/news/world/foreigners-arrested-over-ivory-bracelets-at-kenyan-airport-11823076","Media","","","Air","On Person","","","","Conviction - court fine & imprisonment","","1","","9800","USD US Dollar","","12","Months"
"MOR28226","5. Animal Injury / Mortality / Welfare","Kenya","2020-04-21 00:00:00","19 endangered vultures dead from eating poisoned camel carcasses in Laikipia County - 1 arrested","https://www.nation.co.ke/counties/laikipia/Camel-owner-arrested-over-vulture-deaths/1183290-5531862-qqe5y6/index.html","Media","","","","","","","Investigation","Arrest","","","","","","","",""
"MOR28380","1. Seizure","Kenya","2019-03-19 00:00:00","tusks, hippo & warthog teeth seized in Nairobi - 2 arrested","https://nairobinews.nation.co.ke/chillax/here-is-diamonds-side-of-the-story-about-his-breakup-with-tanasha","Media","","","Land - Vehicle","Inside Vehicle","","","","Confiscation & arrest","","","","","","","",""
