Longitude,Latitude,Number,nam,BUFF_DIST
31.464220,-23.928612,2.000000,,0
29.229599,-26.943695,2.000000,Standerton,1
31.216846,-24.256405,3.000000,,0
30.139194,-23.827879,4.000000,Tzaneen,1
32.045773,-28.366764,3.000000,,0
28.085316,-26.110582,1.000000,Alexandra,1
31.464220,-23.928612,3.000000,,0
27.775557,-26.095556,1.000000,Krugersdorp,1
31.464220,-23.928612,4.000000,,0
28.006390,-26.093611,3.000000,SANDTON,1
25.643682,-32.164230,3.000000,Michausdal,1
27.095446,-25.473706,2.000000,Bala,1
31.915352,-25.440994,5.000000,,0
28.101648,-26.178751,1.000000,Hillbrow,1
28.222519,-26.104231,3.000000,Kempton Park West,1
28.116405,-24.294151,3.000000,Vaalwater,1
27.183496,-25.648933,2.000000,,0
31.464220,-23.928612,9.000000,,0
31.511309,-25.469806,5.000000,,0
31.087494,-24.605656,3.000000,Acornhoek,1
24.399828,-25.767632,4.000000,,0
31.038273,-29.853802,2.000000,DURBAN,1
28.059086,-25.988626,6.000000,,0
28.862642,-22.895048,2.000000,,0
31.258648,-25.155227,4.000000,,0
27.238914,-25.276197,4.000000,,0
27.767044,-26.099297,1.000000,Boltonia,1
34.884487,-19.796383,2.000000,,0
28.166965,-26.187864,2.000000,Bedfordview,1
18.633520,-33.886818,3.000000,CAPE TOWN,1
28.222519,-26.104231,3.000000,Kempton Park West,1
26.417035,-26.736243,1.000000,,0
19.009697,-33.597529,4.000000,,0
30.044589,-22.343950,1.000000,Messina,1
27.993090,-23.083555,1.000000,,0
23.462524,-27.390675,3.000000,,0
23.392601,-27.447234,1.000000,,0
28.194185,-25.744997,2.000000,Pretoria West,1
28.233999,-26.097759,5.000000,Kempton Park West,1
27.265556,-24.957500,4.000000,,0
27.684658,-26.169631,4.000000,Randgate,1
24.755133,-28.710007,4.000000,Kimberley,1
30.481845,-22.878541,2.000000,Gouldville,1
27.917759,-25.758381,3.000000,,0
31.922330,-28.250420,4.000000,,0
22.917506,-30.589483,5.000000,,0
28.320644,-25.763325,3.000000,PRETORIA,1
22.937506,-30.559483,50.000000,,0
27.616667,-25.883333,3.000000,,0
