Longitude,Latitude,Number,nam,BUFF_DIST
24.729861,-26.958405,3.000000,Vryburg,1
7.647867,45.196537,1.000000,,0
30.322823,-24.579981,4.000000,Bogwasa,1
31.027561,-23.933367,3.000000,Namakgale,1
27.195735,-25.611376,5.000000,Lefaragatlhe,1
29.904655,-23.046242,2.000000,Louis Trichardt,1
29.098547,-22.682489,1.000000,,0
31.464220,-23.928612,6.000000,,0
31.082443,-23.940112,3.000000,,0
28.392942,-25.605122,2.000000,,0
30.542627,-24.380461,3.000000,,0
28.059086,-25.988626,3.000000,,0
29.214911,-25.874760,2.000000,WITBANK,1
24.749910,-28.728237,3.000000,Kimberley,1
